weight,package_type,carrier_type,ZONE_1,ZONE_1A,ZONE_1B,ZONE_1C,ZONE_1D,ZONE_1E,ZONE_1F,ZONE_1G
3,DPD,NONE,6.06,11.63,13.81,14.50,17.44,22.50,27.38,37.44
5,DPD,NONE,6.25,11.69,14.00,14.63,17.56,22.63,27.56,37.63
10,DPD,NONE,6.44,11.75,14.06,14.75,17.75,22.81,27.69,38.06
15,DPD,NONE,6.56,11.88,14.31,14.88,17.88,23.00,28.13,38.31
20,DPD,NONE,6.69,12.06,14.63,15.38,18.25,23.88,28.38,38.56
25,DPD,NONE,7.31,12.31,15.06,15.81,18.75,24.06,29.25,39.06
31.5,DPD,NONE,7.52,12.77,15.42,16.01,19.01,24.38,29.31,39.56
